Internal ID,Vendor ID,SMILES,CollectionName,LOG HLM_CLint (mL/min/kg),LOG_MDR1,LOG_SOL,LOG PLASMA PROTEIN BINDING (HUMAN) (% unbound),LOG PLASMA PROTEIN BINDING (RAT) (% unbound),LOG RLM_CLint (mL/min/kg),OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY,LOG_CLint_HLM,LOG_CLint_RLM,CLint_HLM,CLint_RLM
Mol11,43216036,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,emolecules,0.675686709,2.305351369,,1.378597739,2.0,1.28368559,CCS(=O)(=O)N1CC(CC#N)(N2C=C(C3=NC=NC4=C3C=CN4)C=N2)C1,XUZMWHLSFXCVMG-UHFFFAOYSA-N,0.675686709,1.28368559,4.73900000328012,19.21699999375402
Mol12,2171363,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,emolecules,1.198299609,0.097722674,1.751610089,1.729799023,1.626076768,2.138776216,COC1=CC=C(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)C=C1,XCBHYDPDIJQQGM-UHFFFAOYSA-N,1.198299609,2.138776216,15.787000001174611,137.6500000857831
Mol13,36366966,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,emolecules,2.004110625,0.891865247,,-0.449771647,-0.325138859,2.365560985,CCN1C(C2=NON=C2N)=NC2=CN=C(OC3=CC=CC(NC(=O)C4=CC=C(OCCN5CCOCC5)C=C4)=C3)C=C21,YOVNFNXUCOWYSG-UHFFFAOYSA-N,2.004110625,2.365560985,100.95099992248878,232.03899991705237
Mol14,50283346,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,emolecules,1.884823674,0.79989303,,,-0.055517328,2.160423509,CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,RJCWBNBKOKFWNY-IDPLTSGASA-N,1.884823674,2.160423509,76.70499995228427,144.68500012496764
Mol15,44811754,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,emolecules,1.155882358,0.402661496,,-1.22184875,-0.68613278,2.238813599,CC1=CNC2=NC=CC(OC3=C(F)C=C(NC4=CC(Cl)=NC(N)=N4)C=C3F)=C12,NRSGWEVTVGZDFC-UHFFFAOYSA-N,1.155882358,2.238813599,14.31799999730268,173.30600015334423
Mol16,300112437,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,emolecules,1.564145072,1.868344533,1.818225894,1.730984039,1.615139594,2.2125152,COC1=CC2=C(C=C1OC)CC(=O)N(CCCN(C)C[C@H]1CC3=CC(OC)=C(OC)C=C31)CC2,ACRHBAYQBXXRTO-OAQYLSRUSA-N,1.564145072,2.2125152,36.656000013055355,163.1230000126161
Mol17,48544545,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,emolecules,1.048286393,1.414640239,1.414137362,,1.072507236,1.849836922,N#CC1=CC=C2NC(O)=C(C3=CC=C(CN4CCOCC4)C=N3)C2=C1,BLTVBQXJFVRPFK-UHFFFAOYSA-N,1.048286393,1.849836922,11.175999997268995,70.76799999584013
Mol18,44507857,CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,emolecules,0.983626287,1.582757474,1.726482697,1.677187053,1.388207807,2.25299858,CCCC1=NC2=NC=NN2C(N2CCC3=C(C2)N=C(C2CC2)N3C)=C1,SELCQITYGGFDHW-UHFFFAOYSA-N,0.983626287,2.25299858,9.629999997238585,179.05999993531324
Mol19,194974866,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,emolecules,1.226135722,-0.329004434,,0.653405491,0.640978057,2.208589142,FC1=CC=C(C2=CC=C3C(=C2)NC2=CC=NC=C23)C=N1,GETAAWDSFUCLBS-UHFFFAOYSA-N,1.226135722,2.208589142,16.831999981642884,161.65500003246115
Mol20,76751123,Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,emolecules,2.56594576,,,0.713910354,0.631443769,3.372693144,NC1=C(F)C=CC2=CN=C(N3C=CC4=CC=NC=C43)C=C12,KAXAUWZJVWGFDO-UHFFFAOYSA-N,2.56594576,3.372693144,368.08300007037445,2358.8109979100486
Mol21,106663882,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,emolecules,0.675686709,1.81723103,1.729974286,1.828227965,1.74597993,1.435764759,C=CC(=O)N1C[C@H](NC2=NC=NC3=C2C=CN3)CC[C@@H]1C,CBRJPFGIXUFMTM-WDEREUQCSA-N,0.675686709,1.435764759,4.73900000328012,27.274999983647383
Mol22,271384825,Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,emolecules,0.860996437,1.600468919,,1.642995934,1.786412441,1.511656132,CN1C=C(NC2=NC=CC(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)=N2)C=N1,BUWBRTXGQRBBHG-RUXDESIVSA-N,0.860996437,1.511656132,7.26100000405946,32.48299999077753
Mol23,316756775,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,emolecules,0.675686709,2.05650206,1.229809783,1.186566481,1.236577565,1.417438476,[2H]C([2H])([2H])NC(=O)C1=NN=C(NC(=O)C2CC2)C=C1NC1=CC=CC(C2=NN(C)C=N2)=C1OC,BZZKEPGENYLQSC-FIBGUPNXSA-N,0.675686709,1.417438476,4.73900000328012,26.14799998230605
Mol24,114309331,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,emolecules,2.282135893,1.393231611,1.004321374,0.752995432,0.901294817,3.161600362,C=CC(=O)N1CCC(CNC2=NC=NC(N)=C2C2=CC=C(OC3=CC=CC=C3)C=C2)CC1,QUIWHXQETADMGN-UHFFFAOYSA-N,2.282135893,3.161600362,191.48549993684296,1450.775998362146
Mol25,53744933,Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,emolecules,1.066176786,1.882226244,1.475235223,-0.354577731,-0.08249449,1.571266162,NC1=C(C2=CC(Cl)=CC=C2OC2=CC(F)=C(S(=O)(=O)NC3=CSC=N3)C=C2Cl)C=NN1,ZYSCOUXLBXGGIM-UHFFFAOYSA-N,1.066176786,1.571266162,11.646000006113852,37.26200004281422
Mol26,207623013,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,emolecules,1.05709529,0.531991235,0.380211242,0.436162647,0.326540669,1.637629802,CC1=C(C2=C(F)C=C(C(N)=O)C3=C2C2=C(C[C@@H](C(C)(C)O)CC2)N3)C=CC=C1N1C(=O)C2=CC=CC(F)=C2N(C)C1=O,ZRYMMWAJAFUANM-INIZCTEOSA-N,1.05709529,1.637629802,11.405000010171731,43.41400000844055
Mol27,324038090,Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,emolecules,0.675686709,1.726392071,0.342422681,1.559583476,1.364100521,1.027920136,CN1C=C(C2=CN3N=CC=C3C(C3=CN([C@]4(CC#N)C[C@@H](C#N)C4)N=C3)=N2)C=N1,XPLZTJWZDBFWDE-OYOVHJISSA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol28,322748925,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,emolecules,0.675686709,0.448797935,1.610127613,,1.615287063,1.436051275,O=C(NC1=CC=CN=C1)C1=CC=NC(NC(=O)C2CC2)=C1,FAJGIEVMPKNFTN-UHFFFAOYSA-N,0.675686709,1.436051275,4.73900000328012,27.29299998729018
Mol29,316162153,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,emolecules,0.675686709,0.832551262,,-0.467245621,-0.295849483,1.027920136,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1Cl)C1=CNC2=NC=NC(N[C@@H]3CC[C@@H](CO)OC3)=C12,JSFCZQSJQXFJDS-QAPCUYQASA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol31,1447149,CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,emolecules,0.932980822,,0.397940009,0.731266349,0.455758203,2.281224324,CC(C)(C)C1=CC=C(C2=C(C#N)C(=O)N3CCSC3=N2)C=C1,MQEPVWKVIBIVDU-UHFFFAOYSA-N,0.932980822,2.281224324,8.570000001515542,191.0840000525106
Mol32,75542235,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,emolecules,0.990827051,1.931719426,,-0.049635146,-0.308918508,2.322653372,C=CC(=O)NC1=CC=CC(OC2=NC(NC3=CC=C(N4CCN(C)CC4)C=C3)=NC3=C2SC=C3)=C1,FDMQDKQUTRLUBU-UHFFFAOYSA-N,0.990827051,2.322653372,9.791000009751022,210.2099998967872
Mol33,LN01345100,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,labnetworkBB,1.329092647,1.460944843,1.810232518,0.935859798,0.669595781,2.272106283,CC#CC(=O)N1CC[C@@H](N2C(=O)N(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C1,SEJLPXCPMNSRAM-GOSISDBHSA-N,1.329092647,2.272106283,21.33499999040424,187.1140000293985
Mol34,168890455,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,emolecules,1.761739954,1.705596867,,0.968996327,0.231979027,2.758344821,C=CC(=O)N1CCC([C@@H]2CCNC3=C(C(N)=O)C(C4=CC=C(OC5=CC=CC=C5)C=C4)=NN32)CC1,RNOAOAWBMHREKO-QFIPXVFZSA-N,1.761739954,2.758344821,57.77499997989265,573.2509999976144
Mol35,68868488,C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,emolecules,2.219660482,0.762732149,1.75089392,0.983851719,0.276231958,2.712971095,C=CC(=O)N1CCC[C@H](N2C(=O)N(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C1,KSUDUUBCXJUFRL-SFHVURJKSA-N,2.219660482,2.712971095,165.82900007053016,516.3819996932622
Mol36,316276642,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,emolecules,2.728516916,1.555038433,1.553276046,0.276231958,0.123198075,3.056338375,CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3F)C3=C(N)N=CN=C32)C1)N1CCN(C2COC2)CC1,LCFFREMLXLZNHE-RUZDIDTESA-N,2.728516916,3.056338375,535.2009997275958,1138.5139989874006
Mol37,324043470,CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,emolecules,1.620136055,1.70079951,0.431363764,-0.073143291,-0.029188389,2.715512815,CC#CC(=O)N1CC[C@@H](N2C=C(C3=CC=C(OC4=C(F)C=CC=C4F)C=C3)C3=C2C(=O)NN=C3N)C1,DNPOFZXZJJDQLB-MRXNPFEDSA-N,1.620136055,2.715512815,41.70000000251974,519.412999926446
Mol38,93438921,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,emolecules,1.427680816,1.70375054,,0.039414119,-0.139063379,2.53699252,C=CC(=O)NC1=CC=CC(OC2=NC(NC3=CC=C(N4CCN(C)CC4)C(F)=C3)=NC3=C2C=CN3)=C1,UOFYSRZSLXWIQB-UHFFFAOYSA-N,1.427680816,2.53699252,26.77199997956706,344.34399995968306
Mol39,252308493,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,emolecules,0.675686709,0.534421785,1.548389418,0.969089603,1.240049772,1.027920136,C[C@@H]1C2=C(CCN1C(=O)C1=CC=CC(C(F)(F)F)=C1Cl)N(C1=NC=C(F)C=N1)N=N2,CWFVVQFVGMFTBD-SECBINFHSA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol40,32130783,COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,emolecules,0.876967967,1.780905646,0.774516966,-0.397940009,-0.742321425,2.012702277,COC1=CC=CC=C1C1=NNC(NC(=O)C2=CC=CC(N3CCNC3=O)=C2)=C1,KBCAKELEOBDYEO-UHFFFAOYSA-N,0.876967967,2.012702277,7.532999992496654,102.96799992877656
Mol41,202119,Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,emolecules,2.57963614,0.285216624,1.399673721,-0.04431225,0.137354111,3.177817186,NC1=NC=C(C2=CC=CC(C(F)(F)F)=C2)C(C2CCCCN2C(=O)C2=CC=CC=C2)=N1,ORYZZPHTOLIQHQ-UHFFFAOYSA-N,2.57963614,3.177817186,379.8709999660832,1505.973001252388
Mol42,110118917,O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,emolecules,0.909876818,1.666140136,1.653212514,0.262925469,0.611935625,1.572453363,O=C(NC1=CC=CC(C2=NN=CN2C2CC2)=C1)C1=CC(N2C=NC(C3CC3)=C2)=CC=N1,ZGCMQKWOUIMBEP-UHFFFAOYSA-N,0.909876818,1.572453363,8.126000000179758,37.36399996493584
Mol43,207447,Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,emolecules,2.601584178,0.353495036,1.465382851,0.545801757,0.460897843,3.213226004,FC1=CC=CC=C1C1=CNN=C1C1CCCN1CC1=CC=C2N=CC=CC2=C1,JBILWRJWVQZBIQ-UHFFFAOYSA-N,2.601584178,3.213226004,399.5619997101136,1633.901998578631
Mol44,313516892,Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,emolecules,1.710749017,-0.170444289,1.527333397,1.122707254,1.207445854,3.329049083,CC1=NC=CC(C2=CN(CC3=CC=CC=C3)C3=CN=CC=C23)=N1,CZCUSHJQJWKYTD-UHFFFAOYSA-N,1.710749017,3.329049083,51.37466665860762,2133.2859987793136
Mol45,168892617,CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,emolecules,0.675686709,0.559004282,1.247359422,0.868232868,0.593618308,1.409628842,CCC1=NC(C)=CN2N=C(C3=CC(=O)N4C=C(C5CCN(C)CC5)C=C(C)C4=N3)C=C12,GYFRQCMDLBNZSF-UHFFFAOYSA-N,0.675686709,1.409628842,4.73900000328012,25.6820000214336
Mol46,313548577,Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,emolecules,1.034949147,-0.290190042,1.522444234,0.328379603,0.696793085,1.847547983,CC1=C(Cl)C=CC2=C1N1C(=C2)C(=O)NC[C@@H]1C,FNTQDIAESXBUJC-ZETCQYMHSA-N,1.034949147,1.847547983,10.838000008076271,70.39600006188174
Mol47,49863827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,emolecules,1.543708051,1.322459871,1.601516784,0.956648579,0.846275242,2.012651661,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCNC1,GPSQYTDPBDNDGI-MRXNPFEDSA-N,1.543708051,2.012651661,34.970999984671764,102.95599994995996
Mol48,53790787,Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,emolecules,2.121697694,0.850877323,1.51851394,0.926290987,1.114444172,3.158486128,CC1=NN=C(CN(C)CC(C)OC2=CC=C(Cl)C(Cl)=C2)N1C,GJGFKNXKGNDOPE-UHFFFAOYSA-N,2.121697694,3.158486128,132.3420001304543,1440.4100007125624
Mol49,45816980,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,emolecules,1.021644036,0.979002017,1.559308011,0.866877814,0.685562611,1.848847759,COC1=NN(C)C=C1C(=O)NC1=CC=CC(C2=CN=C3CCCN23)=C1,DWRIDBCBWNHHDY-UHFFFAOYSA-N,1.021644036,1.848847759,10.510999997883664,70.60699995502752
Mol50,89942308,COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,emolecules,0.675686709,2.175835946,1.729974286,1.594922663,1.574609941,1.027920136,COC1=CC(F)=CC=C1C1=NC=NC(NC2=CC=CC(C[S@@](C)(=N)=O)=C2)=N1,ACWKGTGIJRCOOM-MHZLTWQESA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol51,48239418,Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,emolecules,1.878648159,-0.011565693,1.722633923,1.205461507,1.264227348,2.804398773,CC1=NC=C(CN2CC[C@@H](NC3=CN=CC(Cl)=N3)[C@@H](C)C2)S1,RLZPMZJNCREYMM-GXFFZTMASA-N,1.878648159,2.804398773,75.62199998120354,637.3805006625789
Mol52,139133,Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,emolecules,2.885344821,0.047746542,1.376576957,-0.293282218,-0.590066877,3.182090951,CC1=CC=C(C(=O)N2CCC(CC3=CC=CC=C3C3=CC=CC=C3)(C(=O)N(C)C)CC2)S1,RDPKNRVKHQEPPO-UHFFFAOYSA-N,2.885344821,3.182090951,767.9710007404084,1520.8659998172448
Mol53,89942282,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,emolecules,2.032792967,1.990864514,1.780317312,-0.204728421,-0.434152181,2.746011108,CCC1=C(N(C)C2=NC(C3=CC=C(F)C=C3)=C(C#N)S2)N2C=C(N3CCN(CC(=O)N4CC(O)C4)CC3)C=C(C)C2=N1,REQQVBGILUTQNN-UHFFFAOYSA-N,2.032792967,2.746011108,107.84324989292256,557.200000318279
Mol54,28294753,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,emolecules,0.675686709,1.61368751,1.614833965,1.991815076,1.747124255,2.077589539,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)C1=NC=NC2=C1C=CN2,UJLAWZDWDVHWOW-YPMHNXCESA-N,0.675686709,2.077589539,4.73900000328012,119.5610000573503
Mol55,139117,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,emolecules,2.596224212,1.237227531,1.924795996,0.902546779,1.265713811,3.377908999,CN(C)C(=O)C1(CC2=CC=CC=C2C2=CC=CC=C2)CCN(C(=O)C2CCCO2)CC1,ZILWUCCSRUSYKN-UHFFFAOYSA-N,2.596224212,3.377908999,394.6610000224004,2387.3109992124723
Mol56,202525,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,emolecules,1.609647759,2.027037834,1.761927838,0.596926814,0.549861188,2.808125186,CC(=O)NC1=CC=C(C(=O)N2CCCCC2C2=NC(N)=NC=C2C2=CC=C(Cl)C=C2)C=C1,NEWBXMJUQHKLRU-UHFFFAOYSA-N,1.609647759,2.808125186,40.70499999262145,642.8729996651815
Mol57,202527,CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,emolecules,1.727004157,1.991058155,1.759667845,0.520483533,0.584331224,2.813429526,CC(=O)NC1=CC=C(C(=O)N2CCCCC2C2=NC(N)=NC=C2C2=CC=CC(Cl)=C2)C=C1,LUWBWUYHHJPTSZ-UHFFFAOYSA-N,1.727004157,2.813429526,53.334000051166285,650.7729997870479
Mol58,31929526,O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,emolecules,0.675686709,0.468083204,1.710117365,1.543819805,1.433497815,1.387407625,O=C1CN(C2=CC=C(NC3=NC=CC(C(F)(F)F)=N3)C=N2)CCN1,PYPNQOBMWKABHL-UHFFFAOYSA-N,0.675686709,1.387407625,4.73900000328012,24.401000004035065
Mol59,189638257,O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,emolecules,0.675686709,0.854190841,1.84260924,1.851001366,1.801527189,1.573811169,O=C1NCCN(C(=O)C2=CN3C=CN=C3C=C2)C1C1=CC=CC=C1C(F)(F)F,KEQCZCSDQPRXPW-UHFFFAOYSA-N,0.675686709,1.573811169,4.73900000328012,37.48099996312477
Mol60,189741166,Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,emolecules,0.777789187,0.925531892,1.793790385,1.78096503,1.950724994,1.442448411,CC1=CC(F)=CC=C1C1C(=O)NCCN1C(=O)C1=CN2C=CN=C2C=C1,BFQFVRWUWMMEDG-UHFFFAOYSA-N,0.777789187,1.442448411,5.99499999399709,27.69800000446
Mol61,49311027,O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,emolecules,0.675686709,0.649112619,1.645422269,1.876996793,1.868168158,1.968889034,O=C1NCCN(C(=O)C2=CC=NC=C2)C1C1=CC=CC=C1Cl,CHZUDAHTAPDLPR-UHFFFAOYSA-N,0.675686709,1.968889034,4.73900000328012,93.08699997355966
Mol62,1284751,C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,emolecules,1.561387637,0.117165561,1.718667735,1.188253327,0.718335579,3.278679765,C[C@@H]1CN(C(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)C[C@H](C)O1,RODREYUVBDOVGG-CALCHBBNSA-N,1.561387637,3.278679765,36.423999974828,1899.677001685635
Mol63,299989682,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,emolecules,0.993700695,0.867508889,1.716837723,1.106122874,1.180842415,3.037733185,CN1[C@@H]2CC[C@H]1C[C@H](OC(C1=CC=CC=C1)C1=CC=CC=C1)C2,GIJXKZJWITVLHI-ACDBMABISA-N,0.993700695,3.037733185,9.856000004077025,1090.7700004705284
