CXSMILES,Molecule Name,Set,pIC50_MERS_Mpro,pIC50_SARS2_Mpro,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NOC=N1 |&1:18|,ASAP-0029475,Train,,4.37,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NOC=N1,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ncon1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2)C1 |&1:16|,ASAP-0011463,Train,3.32,4.69,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](c2ccccc2)C1
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1F |&1:1,19|",ASAP-0029579,Train,5.34,5.51,C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1F,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C[C@H]1F
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CN=C2)C1 |&1:17|,ASAP-0011519,Train,9.0,4.21,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CN=C2)C1,O=C(Cc1cncc2ccccc12)N1CCC[C@H](n2ccnc2)C1
CC1=CC=C(F)C(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,ASAP-0000650,Train,5.36,5.29,CC1=CC=C(F)C(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,Cc1ccc(F)c(CC(=O)Nc2cncc3ccccc23)c1
O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,ASAP-0011340,Train,4.3,4.05,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O,O=C1Nc2ccc(Cl)cc2[C@]12CCN(c1cncc3ccccc13)C2=O
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C2SC=NC2=C1 |&1:12|,ASAP-0000206,Train,5.26,6.93,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C2SC=NC2=C1,O=C(CN1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1)Nc1ccc2scnc2c1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC2=CC=CC=C2C1,ASAP-0011223,Train,4.45,5.24,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC2=CC=CC=C2C1,O=C(Cc1cncc2ccccc12)N1CCCCc2ccccc2C1
COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12,ASAP-0013270,Train,3.8,5.48,COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(C)C(=O)c1ccc(Cl)cc12
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)C1CCCCC1,ASAP-0008404,Train,5.05,5.05,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)C1CCCCC1,O=C(Cc1cncc2ccccc12)N(Cc1ccc(F)cc1)C1CCCCC1
CC1=NC=CC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,ASAP-0011315,Train,4.27,,CC1=NC=CC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1,Cc1nccc([C@H]2CCCN(C(=O)Cc3cncc4ccccc34)C2)n1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCC1 |&1:17|,ASAP-0011194,Train,4.56,5.15,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCC1,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1CC1CCC1
NC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,ASAP-0031855,Train,4.24,4.06,NC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,NC(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1
"CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:2,&2:20|",ASAP-0029558,Train,4.99,4.45,CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C,CO[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C[C@H]1C
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|,ASAP-0008361,Train,4.95,5.44,CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O,CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(C(F)(F)F)ccc2C1=O
CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O |o1:11|,ASAP-0000446,Train,4.22,4.47,CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(c1cncc3ccccc13)C2=O
C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|,ASAP-0031648,Train,5.29,6.7,C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1Cc2sccc2CN1C(=O)Cc1cncc2ccccc12
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O |o1:7,o2:22|",ASAP-0000523,Train,5.36,6.47,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2CO)c2cc(Cl)ccc2C1=O
"COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=C1)C(=O)C1=CC=C(Cl)C=C12 |a:3,18|",ASAP-0014938,Train,5.99,7.26,COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=C1)C(=O)C1=CC=C(Cl)C=C12,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cn[nH]c1)C(=O)c1ccc(Cl)cc12
"CS(=O)(=O)C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5,7,11|",ASAP-0029897,Train,,4.22,CS(=O)(=O)C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)CC1=CN=CC2=CC=CC=C12,CS(=O)(=O)C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)Cc1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CO2)C1 |&1:16|,ASAP-0011309,Train,4.25,4.02,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CO2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](c2ncco2)C1
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |o1:7|,ASAP-0008652,Train,4.46,4.55,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)c3ccccc32)c2cc(F)ccc2C1=O
"C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)CC1=O |&1:1,&2:17|",ASAP-0029499,Train,,4.14,C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)CC1=O,C[C@@H]1CC(=O)[C@@H](C)CN1C(=O)Cc1cncc2ccccc12
"COC1=CC=CC([C@H]2C[C@H](C)CN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:7,&2:9|",ASAP-0029878,Train,5.5,5.02,COC1=CC=CC([C@H]2C[C@H](C)CN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1,COc1cccc([C@H]2C[C@H](C)CN2C(=O)Cc2cncc3ccccc23)c1
CC1=CC=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2CC2)=C1,ASAP-0008386,Train,4.33,5.04,CC1=CC=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2CC2)=C1,Cc1cccc(CN(C(=O)Cc2cncc3ccccc23)C2CC2)c1
COC1=CC=C(Cl)C=C1[C@H]1CCCCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:9|,ASAP-0008252,Train,4.31,,COC1=CC=C(Cl)C=C1[C@H]1CCCCN1C(=O)C1=CN=CC2=CC=CC=C12,COc1ccc(Cl)cc1[C@H]1CCCCN1C(=O)c1cncc2ccccc12
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",ASAP-0016110,Train,6.4,7.89,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)C1=CC=C(Cl)C=C12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)c1ccc(Cl)cc12
CN1N=CC2=CN=CC(NC(=O)[C@H]3CNS(=O)(=O)C4=CC=C(Cl)C=C43)=C21 |o1:12|,ASAP-0000535,Train,4.76,5.07,CN1N=CC2=CN=CC(NC(=O)[C@H]3CNS(=O)(=O)C4=CC=C(Cl)C=C43)=C21,Cn1ncc2cncc(NC(=O)[C@H]3CNS(=O)(=O)c4ccc(Cl)cc43)c21
O=C(NC1CN(C2=CC=NC=C2)C1)C1=CN=CC2=CC=CC=C12,ASAP-0000842,Train,4.33,,O=C(NC1CN(C2=CC=NC=C2)C1)C1=CN=CC2=CC=CC=C12,O=C(NC1CN(c2ccncc2)C1)c1cncc2ccccc12
O=C1[C@@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12,ASAP-0000179,Train,4.29,4.19,O=C1[C@@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12,O=C1[C@@H]2CCCCN2C(=O)N1c1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC1=CC=CC=C1 |&1:18|,ASAP-0011148,Train,4.61,4.51,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC1=CC=CC=C1,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1Cc1ccccc1
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCCCC1 |&1:6|,ASAP-0008612,Train,4.34,4.99,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCCCC1,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N1CCCCC1
CNC(=O)C[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:5|,ASAP-0031745,Train,4.25,,CNC(=O)C[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,CNC(=O)C[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C2NC=CC2=C1)CC1=CC=CS1,ASAP-0008415,Train,5.24,4.97,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C2NC=CC2=C1)CC1=CC=CS1,O=C(Cc1cncc2ccccc12)N(Cc1ccc2[nH]ccc2c1)Cc1cccs1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]2CCCC[C@H]21 |&1:19,&2:24|",ASAP-0008432,Train,4.85,4.03,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]2CCCC[C@H]21,O=C(Cc1cncc2ccccc12)N1CC(F)(F)C[C@H]2CCCC[C@H]21
CN1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C2=CC=CC=C21,ASAP-0029791,Train,4.27,4.54,CN1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C2=CC=CC=C21,CN1CC2(CCN(C(=O)Cc3cncc4ccccc34)CC2)c2ccccc21
"O=C1N[C@@]2(CC[C@H](C3=CC=CC=C3)OC2)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3,6|",ASAP-0000578,Train,4.34,5.2,O=C1N[C@@]2(CC[C@H](C3=CC=CC=C3)OC2)C(=O)N1C1=CN=CC2=CC=CC=C12,O=C1N[C@@]2(CC[C@H](c3ccccc3)OC2)C(=O)N1c1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(O)C=C2C1,ASAP-0031472,Train,4.24,,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(O)C=C2C1,O=C(Cc1cncc2ccccc12)N1CCc2ncc(O)cc2C1
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(C)C1=CC=CC=C1 |&1:6|,ASAP-0000544,Train,3.94,5.55,C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(C)C1=CC=CC=C1,C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N(C)c1ccccc1
C=CC[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,ASAP-0029049,Train,4.35,4.65,C=CC[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2,C=CC[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12
CNC(=O)C[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5|,ASAP-0031863,Train,4.9,,CNC(=O)C[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12,CNC(=O)C[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12
"O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:27,33|",ASAP-0029722,Train,4.23,4.93,O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21,O=C(COS(=O)(=O)NCc1ccccc1)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@@H]21
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2(F)F,ASAP-0029564,Train,,5.2,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2(F)F,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CC2(F)F
C[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1 |&1:1|,ASAP-0000720,Train,4.62,5.94,C[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1,C[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC2=CC=CC=C2C1,ASAP-0008388,Train,5.36,5.79,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC2=CC=CC=C2C1,O=C(Cc1cncc2ccccc12)N1CCCCCc2ccccc2C1
O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)C1=CN=CC2=CC=CC=C12,ASAP-0000825,Train,3.76,,O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)C1=CN=CC2=CC=CC=C12,O=C(N[C@H]1c2ccccc2C[C@H]1O)c1cncc2ccccc12
"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]2CCC(F)(F)C[C@H]21 |&1:17,24|",ASAP-0008375,Train,4.42,4.46,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]2CCC(F)(F)C[C@H]21,O=C(Cc1cncc2ccccc12)N1CCC[C@H]2CCC(F)(F)C[C@H]21
COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,ASAP-0000580,Train,5.87,6.31,COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,COc1cccc(CNC(=O)CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3ccccc3C2=O)c1
CCS(=O)(=O)N1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,ASAP-0000432,Train,4.18,4.76,CCS(=O)(=O)N1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,CCS(=O)(=O)N1CC2(C1)C(=O)N(c1cncc3ccccc13)C(=O)N2C
"C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1 |o1:1,20|",ASAP-0000238,Train,4.41,4.1,C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,C[C@H]1CCN2C(=O)N(c3cncc4ccccc34)C(=O)[C@@H]2C1
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(F)=C1 |&1:4|,ASAP-0010719,Train,4.44,5.95,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(F)=C1,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1Cc1cccc(F)c1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1=CC=CC=C1 |&1:16|,ASAP-0011469,Train,4.5,4.74,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1=CC=CC=C1,O=C(Cc1cncc2ccccc12)N1CC[C@H]1Cc1ccccc1
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(F)=CC=C2C1=O,ASAP-0008420,Train,5.68,6.96,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(F)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cc2ccccc2)c2cc(F)ccc2C1=O
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC(F)(F)F |&1:18|,ASAP-0029414,Train,,4.32,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC(F)(F)F,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1CC(F)(F)F
"C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:5,&2:7|",ASAP-0016104,Train,3.56,5.53,C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12,C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=C(C=CS2)C1,ASAP-0011173,Train,4.58,5.84,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=C(C=CS2)C1,O=C(Cc1cncc2ccccc12)N1CCCc2sccc2C1
CN(C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:3|,ASAP-0029885,Train,,4.91,CN(C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1,CN(C[C@H]1CCCN1C(=O)Cc1cncc2ccccc12)c1ccccc1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](SC2=CC=CC(Cl)=C2)C1 |&1:16|,ASAP-0011460,Train,3.69,4.53,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](SC2=CC=CC(Cl)=C2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](Sc2cccc(Cl)c2)C1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C(=O)N2CCCCCC2)C1 |&1:16|,ASAP-0011488,Train,9.0,,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C(=O)N2CCCCCC2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@H](C(=O)N2CCCCCC2)C1
CC(=O)N[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,ASAP-0031888,Train,4.24,,CC(=O)N[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,CC(=O)N[C@@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1
C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(Cl)C=C1 |&1:6|,ASAP-0000530,Train,4.33,5.18,C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(Cl)C=C1,C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(Cl)cc1
O=C(NCC1=NC2=CC=CC=C2N1)C1=CN=CC2=CC=CC=C12,ASAP-0000863,Train,4.52,4.23,O=C(NCC1=NC2=CC=CC=C2N1)C1=CN=CC2=CC=CC=C12,O=C(NCc1nc2ccccc2[nH]1)c1cncc2ccccc12
O=C1C(C2=CC(Cl)=CC=C2)=CN=C(S)N1C1=CN=CC2=CC=CC=C12,ASAP-0000171,Train,5.04,6.86,O=C1C(C2=CC(Cl)=CC=C2)=CN=C(S)N1C1=CN=CC2=CC=CC=C12,O=c1c(-c2cccc(Cl)c2)cnc(S)n1-c1cncc2ccccc12
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1 |a:16|,ASAP-0029293,Train,,4.46,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1,O=C(Cc1cncc2ccccc12)N1CC[C@@H](Oc2ccc(F)cc2)C1
"C[C@H]1C[C@H](C2CCCCC2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",ASAP-0029794,Train,,5.22,C[C@H]1C[C@H](C2CCCCC2)CN1C(=O)CC1=CN=CC2=CC=CC=C12,C[C@H]1C[C@H](C2CCCCC2)CN1C(=O)Cc1cncc2ccccc12
