CXSMILES,HLM,KSOL,LogD,MDR1-MDCKII,MLM,Molecule Name,Set,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES,LOG_CLint_HLM,LOG_CLint_MLM,LOG_MDR1,LOG_KSOL
"NCC1=CC=CC([C@H]2C[C@@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1 |&1:7,9|",11.4,50.0,,1.66,,ASAP-0021039,Train,NCC1=CC=CC([C@H]2C[C@@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,NCc1cccc([C@H]2C[C@@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,1.0569048513364727,,0.22010808804005508,1.6989700043360187
"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12 |&1:14,&2:17|",,377.0,,19.3,,ASAP-0029289,Train,O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12,O=C(Cc1cncc2ccccc12)N1[C@H]2CC[C@H]1c1ncccc12,,,1.2855573090077739,2.576341350205793
"C[C@H](C(=O)O)[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |&1:1,&2:5|",5.0,386.0,0.5,1.4,4.0,ASAP-0008445,Train,C[C@H](C(=O)O)[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1,C[C@H](C(=O)O)[C@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Br)cc1,0.6989700043360189,0.6020599913279624,0.146128035678238,2.586587304671755
COC(=O)NC1=NC2=CC=C(C(=O)C3=CC=CC=C3)C=C2N1,,,2.9,,,ASAP-0000688,Train,COC(=O)NC1=NC2=CC=C(C(=O)C3=CC=CC=C3)C=C2N1,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,,,,
O=C(NCC(F)(F)F)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,70.0,14.0,,2.4,,ASAP-0016843,Train,O=C(NCC(F)(F)F)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,O=C(NCC(F)(F)F)c1cc(Cl)c(F)cc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,1.845098040014257,,0.38021124171160603,1.146128035678238
"CN1CC[C@H](NC(=O)C2=CC=CC(B(O)O)=C2)[C@H]1C1=CC=C(Cl)C=C1 |&1:4,17|",21.0,,2.8,14.9,53.0,ASAP-0014724,Train,CN1CC[C@H](NC(=O)C2=CC=CC(B(O)O)=C2)[C@H]1C1=CC=C(Cl)C=C1,CN1CC[C@H](NC(=O)c2cccc(B(O)O)c2)[C@H]1c1ccc(Cl)cc1,1.3222192947339193,1.724275869600789,1.173186268412274,
CC1=CC(C2=CC=C([C@H](NC(=O)OCC3=CC=CC=C3)C(=O)NC3=CC=CC(CN)=C3)C=C2)=CS1 |&1:8|,29.5,8.0,,1.19,,ASAP-0016768,Train,CC1=CC(C2=CC=C([C@H](NC(=O)OCC3=CC=CC=C3)C(=O)NC3=CC=CC(CN)=C3)C=C2)=CS1,Cc1cc(-c2ccc([C@H](NC(=O)OCc3ccccc3)C(=O)Nc3cccc(CN)c3)cc2)cs1,1.469822015978163,,0.07554696139253074,0.9030899869919435
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,142.0,210.0,2.3,1.14,59.0,ASAP-0008485,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,2.1522883443830563,1.7708520116421442,0.05690485133647256,2.322219294733919
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CC=C3N=NN(C)C3=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,752.0,6.0,3.4,0.827,219.0,ASAP-0011201,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CC=C3N=NN(C)C3=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3ccc4nnn(C)c4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,2.876217840591642,2.3404441148401185,-0.08249449044745336,0.7781512503836436
CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NN=C(C(F)F)O1,,6.0,,1.93,19.0,ASAP-0017312,Train,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NN=C(C(F)F)O1,Cc1cc(-c2noc(C(F)(F)F)n2)ccc1OCCCc1nnc(C(F)F)o1,,1.2787536009528289,0.28555730900777376,0.7781512503836436
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1 |o1:3|,500.0,19.0,2.9,2.05,35.0,ASAP-0013833,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,2.6989700043360187,1.5440680443502757,0.31175386105575426,1.2787536009528289
CNC(=O)C1=CC=CC(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)=C1 |o1:14|,455.0,15.0,3.7,0.627,882.0,ASAP-0012344,Train,CNC(=O)C1=CC=CC(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)=C1,CNC(=O)c1cccc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)c1,2.6580113966571126,2.94546858513182,-0.20273245916928356,1.1760912590556813
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CN1)C(=O)C1=CC=C(F)C=C12,90.0,373.0,2.1,4.92,316.0,ASAP-0013274,Train,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CN1)C(=O)C1=CC=C(F)C=C12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncc[nH]1)C(=O)c1ccc(F)cc12,1.954242509439325,2.499687082618404,0.6919651027673603,2.571708831808688
NCC1=CC=CC(NC(=O)C2=CC=CN3C=C(CN4CCCC4)N=C23)=C1,,332.0,0.2,5.25,,ASAP-0022474,Train,NCC1=CC=CC(NC(=O)C2=CC=CN3C=C(CN4CCCC4)N=C23)=C1,NCc1cccc(NC(=O)c2cccn3cc(CN4CCCC4)nc23)c1,,,0.7201593034059569,2.5211380837040362
NCC1=CC=CC(NC(=O)[C@@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1 |a:10|,11.0,23.0,3.2,1.53,1.0,ASAP-0015367,Train,NCC1=CC=CC(NC(=O)[C@@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,NCc1cccc(NC(=O)[C@@H](NC(=O)OCc2ccccc2)c2ccc(OCc3ccccc3)cc2)c1,1.0413926851582251,0.0,0.1846914308175988,1.3617278360175928
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=C(Cl)N=N2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",70.0,390.0,2.1,0.5,75.0,ASAP-0014544,Train,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=C(Cl)N=N2)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccc(Cl)nn2)c2cc(Cl)ccc2C1=O,1.845098040014257,1.8750612633917,-0.3010299956639812,2.591064607026499
CN(C)C(=O)C1=NOC(CCCN2C=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,28.9,8.0,,1.02,26.4,ASAP-0017622,Train,CN(C)C(=O)C1=NOC(CCCN2C=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,CN(C)C(=O)c1cc(CCCn2ccc3cc(-c4noc(C(F)(F)F)n4)ccc32)on1,1.4608978427565478,1.421603926869831,0.00860017176191757,0.9030899869919435
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,92.0,361.0,2.2,1.17,124.0,ASAP-0013744,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1.9637878273455553,2.093421685162235,0.06818586174616162,2.5575072019056577
COCCNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)=C12 |&1:16|,540.0,378.0,2.8,1.62,888.0,ASAP-0008650,Train,COCCNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)=C12,COCCNC(=O)c1c[nH]c2ncnc(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,2.7323937598229686,2.948412965778601,0.20951501454263097,2.5774917998372255
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(Cl)=CC=C2C1=O,194.0,382.0,1.6,1.0,123.0,ASAP-0013302,Train,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)N(C)C)c2cc(Cl)ccc2C1=O,2.287801729930226,2.089905111439398,0.0,2.582063362911709
O=C(O)C[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |&1:4|,6.0,,0.22,2.6,1.0,ASAP-0000136,Train,O=C(O)C[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1,O=C(O)C[C@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Br)cc1,0.7781512503836436,0.0,0.414973347970818,
CNC(=O)[C@H](NC1=CC(CN)=CC(C(=O)O)=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:4|,,335.0,0.0,0.94,,ASAP-0028981,Train,CNC(=O)[C@H](NC1=CC(CN)=CC(C(=O)O)=C1)C1=CC(Cl)=CC(C2CC2)=C1,CNC(=O)[C@H](Nc1cc(CN)cc(C(=O)O)c1)c1cc(Cl)cc(C2CC2)c1,,,-0.026872146400301365,2.525044807036845
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,516.0,26.0,3.7,1.82,709.0,ASAP-0011147,Train,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,2.7126497016272113,2.8506462351830666,0.2600713879850748,1.414973347970818
O=C(O)C1=CC(Cl)=CC=C1S(=O)(=O)NC1CCN(C2=NC(C3CC3)=CC(C(F)(F)F)=N2)CC1,26.3,380.0,2.8,3.65,,ASAP-0017673,Train,O=C(O)C1=CC(Cl)=CC=C1S(=O)(=O)NC1CCN(C2=NC(C3CC3)=CC(C(F)(F)F)=N2)CC1,O=C(O)c1cc(Cl)ccc1S(=O)(=O)NC1CCN(c2nc(C3CC3)cc(C(F)(F)F)n2)CC1,1.4199557484897578,,0.5622928644564748,2.57978359661681
CC1=NN=C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)O1,,60.0,1.8,0.0448,465.0,ASAP-0027841,Train,CC1=NN=C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)O1,Cc1nnc(Sc2cc(-c3ccccc3)nc3ncnn23)o1,,2.667452952889954,-1.348721986001856,1.7781512503836436
CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1 |&1:6|,,380.0,,22.7,,ASAP-0029315,Train,CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1,CC(C)c1nc([C@H]2CCCN(C(=O)Cc3cncc4ccccc34)C2)no1,,,1.3560258571931227,2.57978359661681
O=C1NC(=O)[C@H](CC2=NC3=C(COCC3)S2)C2=CC=CC=C12 |&1:5|,20.3,356.0,0.6,5.44,67.5,ASAP-0020930,Train,O=C1NC(=O)[C@H](CC2=NC3=C(COCC3)S2)C2=CC=CC=C12,O=C1NC(=O)[C@H](Cc2nc3c(s2)COCC3)c2ccccc21,1.307496037913213,1.8293037728310249,0.7355988996981799,2.5514499979728753
CCOC1=CC=CC(C2=CC=C(S(=O)(=O)NC3=CC=C(Cl)C=C3C(=O)O)C=C2)=C1,119.0,392.0,2.8,6.22,,ASAP-0017501,Train,CCOC1=CC=CC(C2=CC=C(S(=O)(=O)NC3=CC=C(Cl)C=C3C(=O)O)C=C2)=C1,CCOc1cccc(-c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3C(=O)O)cc2)c1,2.0755469613925306,,0.7937903846908186,2.593286067020457
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)NC)C2=CC(Cl)=CC=C2C1=O |a:7,22|",83.0,,1.3,0.142,69.0,ASAP-0013717,Train,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)NC)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)NC)c2cc(Cl)ccc2C1=O,1.919078092376074,1.8388490907372552,-0.8477116556169435,
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1OC=C2 |&1:7|,,187.0,0.6,2.1,,ASAP-0031402,Train,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1OC=C2,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccoc12,,,0.3222192947339193,2.271841606536499
CC(C)NC[C@H](O)COC1=CC=CC2=CC=CC=C12 |&1:5|,25.5,,,,63.0,ASAP-0000690,Train,CC(C)NC[C@H](O)COC1=CC=CC2=CC=CC=C12,CC(C)NC[C@H](O)COc1cccc2ccccc12,1.4065401804339552,1.7993405494535817,,
CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C |&1:9|,57.7,,3.0,27.2,,ASAP-0029521,Train,CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C,Cc1c(C(=O)Nc2cc([C@H]3CCOC3)ccn2)cc(C2CC2)n1C,1.7611758131557314,,1.4345689040341987,
CN1N=CC(C2=CC3=C(N[C@H](C4=CC=C5OCCOC5=C4)C(C)(C)C)N=CN=C3N2)=C1C#N |&1:10|,85.0,25.0,2.9,2.79,199.0,ASAP-0008484,Train,CN1N=CC(C2=CC3=C(N[C@H](C4=CC=C5OCCOC5=C4)C(C)(C)C)N=CN=C3N2)=C1C#N,Cn1ncc(-c2cc3c(N[C@H](c4ccc5c(c4)OCCO5)C(C)(C)C)ncnc3[nH]2)c1C#N,1.9294189257142926,2.298853076409707,0.44560420327359757,1.3979400086720377
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,23.0,378.0,1.94,2.7,75.0,ASAP-0000733,Train,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,1.3617278360175928,1.8750612633917,0.43136376415898736,2.5774917998372255
"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",,219.0,,20.0,,ASAP-0029363,Train,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)Cc1cncc2ccccc12,,,1.3010299956639813,2.3404441148401185
CCNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,65.0,,1.5,2.79,232.0,ASAP-0011343,Train,CCNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,CCNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,1.8129133566428555,2.3654879848909,0.44560420327359757,
CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N2CC[C@](C)(O)C2)=NO1 |&1:28|,,16.0,4.4,2.25,,ASAP-0017303,Train,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N2CC[C@](C)(O)C2)=NO1,Cc1cc(-c2noc(C(F)(F)F)n2)ccc1OCCCc1cc(C(=O)N2CC[C@](C)(O)C2)no1,,,0.3521825181113625,1.2041199826559248
CCON=CC1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,17.7,8.0,4.4,7.2,38.3,ASAP-0017298,Train,CCON=CC1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,CCON=Cc1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,1.2479732663618066,1.5831987739686226,0.8573324964312685,0.9030899869919435
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=C(C=CC(F)=C2)C1=O,1.0,,1.07,1.7,23.0,ASAP-0000272,Train,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=C(C=CC(F)=C2)C1=O,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,0.0,1.3617278360175928,0.2304489213782739,
